photo,coords,name,type,org,image_path,zone,floors,timestamp,zone_th
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1683514763671.jpeg,"[99.353258721838, 8.7088717916293]",ทางลาด ตรงกลาง ชั้น 1,ทางลาด,สถานีรถไฟพรุพี (Phru Phi) SRT4253,train_clip/1683514763671.jpeg,center,1,2023-05-08 03:00:18.29706+00,ไม่ระบุ
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1683452718518.jpeg,"[100.4017099094, 14.916171414246]",ทางลาด ด้านหลังฝั่งขวา ชั้น 1,ทางลาด,ปตท.สิงห์บุรี,train_clip/1683452718518.jpeg,back-right,1,2023-05-07 09:45:24.353973+00,ด้านหลังฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682583522029.jpeg,"[99.318715160445, 9.1760562316473]",ห้องน้ำ ด้านข้างฝั่งขวา ชั้น 1,ห้องน้ำ,วัดบางขยาราม,train_clip/1682583522029.jpeg,side-right,1,2023-04-27 08:18:48.742698+00,ด้านข้างฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682583430086.jpeg,"[99.318715160445, 9.1760562316473]",ทางลาด ด้านข้างฝั่งซ้าย ชั้น 1,ทางลาด,วัดบางขยาราม,train_clip/1682583430086.jpeg,side-left,1,2023-04-27 08:17:17.235987+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682320246590.jpeg,"[98.258495, 8.706343]",ที่จอดรถ ติดถนนด้านหน้า ชั้น 1,ที่จอดรถ,โรงพยาบาลส่งเสริมสุขภาพตำบลคึกคัก,train_clip/1682320246590.jpeg,front-mid,1,2023-04-24 07:11:55.583944+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682320155725.jpeg,"[98.258495, 8.706343]",ห้องน้ำ ตรงกลาง ชั้น 1,ห้องน้ำ,โรงพยาบาลส่งเสริมสุขภาพตำบลคึกคัก,train_clip/1682320155725.jpeg,center,1,2023-04-24 07:10:10.351012+00,ไม่ระบุ
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682320002974.jpeg,"[98.258495, 8.706343]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,โรงพยาบาลส่งเสริมสุขภาพตำบลคึกคัก,train_clip/1682320002974.jpeg,front-mid,1,2023-04-24 07:07:36.178808+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682319706063.jpeg,"[98.256654, 8.716682]",ห้องน้ำ ตรงกลาง ชั้น 1,ห้องน้ำ,"สถานีบริการน้ำมัน ปตท. PTT Gas Station, Khuk Khak, Takuapa",train_clip/1682319706063.jpeg,center,1,2023-04-24 07:02:22.099099+00,ไม่ระบุ
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682319647266.jpeg,"[98.256654, 8.716682]",ทางลาด ตรงกลาง ชั้น 1,ทางลาด,"สถานีบริการน้ำมัน ปตท. PTT Gas Station, Khuk Khak, Takuapa",train_clip/1682319647266.jpeg,center,1,2023-04-24 07:01:06.210251+00,ไม่ระบุ
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682319594152.jpeg,"[98.256654, 8.716682]",ที่จอดรถ ตรงกลาง ชั้น 1,ที่จอดรถ,"สถานีบริการน้ำมัน ปตท. PTT Gas Station, Khuk Khak, Takuapa",train_clip/1682319594152.jpeg,center,1,2023-04-24 07:00:11.674529+00,ไม่ระบุ
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682319402806.jpeg,"[98.25223, 8.681468]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,ศูนย์การแพทย์เขาหลัก,train_clip/1682319402806.jpeg,front-mid,1,2023-04-24 06:57:09.798009+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682318791883.jpeg,"[98.246532, 8.645248]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,หาดนางทอง,train_clip/1682318791883.jpeg,front-mid,1,2023-04-24 06:47:19.257815+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682318411302.jpeg,"[98.254525, 8.666448]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,อนุสรณ์สถานเรือ ต813,train_clip/1682318411302.jpeg,front-mid,1,2023-04-24 06:40:15.657621+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682318284210.jpeg,"[98.254525, 8.666448]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,อนุสรณ์สถานเรือ ต813,train_clip/1682318284210.jpeg,front-mid,1,2023-04-24 06:38:26.709297+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682318224859.jpeg,"[98.254525, 8.666448]",ที่จอดรถ ติดถนนด้านหน้า ชั้น 1,ที่จอดรถ,อนุสรณ์สถานเรือ ต813,train_clip/1682318224859.jpeg,front-mid,1,2023-04-24 06:37:17.555992+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682317655125.jpeg,"[98.253613, 8.677252]",ห้องน้ำ ด้านข้างฝั่งขวา ชั้น 1,ห้องน้ำ,หนองมูลตะกั่ว,train_clip/1682317655125.jpeg,side-right,1,2023-04-24 06:28:13.139981+00,ด้านข้างฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1682317534007.jpeg,"[98.253613, 8.677252]",ห้องน้ำ ด้านข้างฝั่งซ้าย ชั้น 1,ห้องน้ำ,หนองมูลตะกั่ว,train_clip/1682317534007.jpeg,side-left,1,2023-04-24 06:26:20.025705+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681822160695.jpeg,"[99.975426, 8.424498]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,café amazon ศิรินครสแควร์,train_clip/1681822160695.jpeg,front-mid,1,2023-04-18 12:49:54.364952+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681799395802.jpeg,"[98.33923086733, 8.0231633808657]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,โรงพยาบาลถลาง,train_clip/1681799395802.jpeg,front-mid,1,2023-04-18 06:30:03.855013+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681288508015.jpeg,"[98.304869, 7.898318]",ห้องน้ำ ด้านข้างฝั่งซ้าย ชั้น 1,ห้องน้ำ,เทศบาลเมืองป่าตอง,train_clip/1681288508015.jpeg,side-left,1,2023-04-12 08:35:27.244177+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681288472587.jpeg,"[98.304869, 7.898318]",ทางลาด ด้านข้างฝั่งซ้าย ชั้น 1,ทางลาด,เทศบาลเมืองป่าตอง,train_clip/1681288472587.jpeg,side-left,1,2023-04-12 08:34:37.81461+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681288183764.jpeg,"[98.304869, 7.898318]",ทางลาด ด้านข้างฝั่งซ้าย ชั้น 1,ทางลาด,เทศบาลเมืองป่าตอง,train_clip/1681288183764.jpeg,side-left,1,2023-04-12 08:29:56.91535+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681185146161.jpeg,"[98.391275, 7.8846]",ทางลาด ติดถนนด้านหน้า ชั้น 1,ทางลาด,Phuket P.A.O. Hospital (โรงพยาบาล อบจ.ภูเก็ต),train_clip/1681185146161.jpeg,front-mid,1,2023-04-11 04:02:51.302657+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1681133611114.jpeg,"[99.976043173235, 8.3980605581275]",ที่จอดรถ ติดถนนด้านหน้า ชั้น 1,ที่จอดรถ,เทสโก้ โลตัส,train_clip/1681133611114.jpeg,front-mid,1,2023-04-10 13:34:22.750804+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680843151100.jpeg,"[99.326238, 9.133206]",ทางลาด ตรงกลาง ชั้น 1,ทางลาด,สำนักงานสาธารณสุขจังหวัดสุราษฎร์ธานี,train_clip/1680843151100.jpeg,center,1,2023-04-07 04:52:42.993476+00,ไม่ระบุ
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680610188487.jpeg,"[99.964021, 8.457522]",ห้องน้ำ ด้านข้างฝั่งขวา ชั้น B,ห้องน้ำ,Big C อ้อมค่าย,train_clip/1680610188487.jpeg,side-right,B,2023-04-04 12:10:12.915352+00,ด้านข้างฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680610062077.jpeg,"[99.964021, 8.457522]",ที่จอดรถ ติดถนนด้านหน้า ชั้น 1,ที่จอดรถ,Big C อ้อมค่าย,train_clip/1680610062077.jpeg,front-mid,1,2023-04-04 12:08:13.984353+00,ติดถนนด้านหน้า
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680609313858.jpeg,"[99.959041260255, 8.4539931281175]",ห้องน้ำ ด้านข้างฝั่งซ้าย ชั้น 1,ห้องน้ำ,สนามกีฬากลางจังหวัดนครศรีธรรมราช,train_clip/1680609313858.jpeg,side-left,1,2023-04-04 11:55:34.841017+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680609255417.jpeg,"[99.959041260255, 8.4539931281175]",ทางลาด ด้านข้างฝั่งซ้าย ชั้น 1,ทางลาด,สนามกีฬากลางจังหวัดนครศรีธรรมราช,train_clip/1680609255417.jpeg,side-left,1,2023-04-04 11:54:31.254746+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680609182382.jpeg,"[99.959041260255, 8.4539931281175]",ทางลาด ติดถนนด้านหน้าฝั่งซ้าย ชั้น 1,ทางลาด,สนามกีฬากลางจังหวัดนครศรีธรรมราช,train_clip/1680609182382.jpeg,front-left,1,2023-04-04 11:53:29.97766+00,ติดถนนด้านหน้าฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680609025052.jpeg,"[99.959041260255, 8.4539931281175]",ทางลาด ติดถนนด้านหน้าฝั่งขวา ชั้น 1,ทางลาด,สนามกีฬากลางจังหวัดนครศรีธรรมราช,train_clip/1680609025052.jpeg,front-right,1,2023-04-04 11:50:49.623175+00,ติดถนนด้านหน้าฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680607899770.jpeg,"[99.954217537433, 8.4980131016452]",ที่จอดรถ ติดถนนด้านหน้าฝั่งขวา ชั้น 1,ที่จอดรถ,โรงพยาบาลค่ายวชิราวุธ,train_clip/1680607899770.jpeg,front-right,1,2023-04-04 11:31:45.316685+00,ติดถนนด้านหน้าฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680607489045.jpeg,"[99.954217537433, 8.4980131016452]",ห้องน้ำ ด้านข้างฝั่งขวา ชั้น 1,ห้องน้ำ,โรงพยาบาลค่ายวชิราวุธ,train_clip/1680607489045.jpeg,side-right,1,2023-04-04 11:24:54.431631+00,ด้านข้างฝั่งขวา
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1680495010264.jpeg,"[100.04549124495, 8.3666068520416]",ห้องน้ำ ด้านข้างฝั่งซ้าย ชั้น 1,ห้องน้ำ,ศูนย์อนามัยที่ ๑๑,train_clip/1680495010264.jpeg,side-left,1,2023-04-03 04:10:24.815981+00,ด้านข้างฝั่งซ้าย
https://storage.googleapis.com/traffy_public_bucket/chat-bot-img/thaithealth-photos/1679631292980.jpeg,"[99.033008732868, 10.174765604023]",ศูนย์บริการ ติดถนนด้านหน้าฝั่งซ้าย ชั้น 1,ศูนย์บริการ,อบต นาสัก,train_clip/1679631292980.jpeg,front-left,1,2023-03-24 04:15:24.838207+00,ติดถนนด้านหน้าฝั่งซ้าย
